City,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,AQI,AQI Category,PM2.5/PM10 Ratio
Allahabad,01-01-2013,72.19098775,28.03885881,74.46670296,90.10102404,2.737497828,22.8326197,23.53872164,91.46266227,139.2037168,Unhealthy for Sensitive Groups,1.5
Nagpur,02-01-2013,156.1625248,109.7055924,79.35702521,62.66019025,8.298729172,87.44448763,31.23332099,55.05714597,327.9851934,Hazardous,1.423469136
Vadodara,03-01-2013,37.0352484,320.9962486,19.52608317,30.34115636,0.268302308,14.38134887,39.91946106,86.67058991,270.9962486,Very Unhealthy,0.115375954
Nashik,04-01-2013,222.0000559,217.0041091,85.57228989,23.41321721,1.372083782,25.33347383,39.88096538,76.20361369,378.5116708,Hazardous,1.02302236
Srinagar,05-01-2013,259.6906937,47.6348507,135.6134233,32.02651969,6.027526932,95.91889888,24.09853772,75.65855916,404.455336,Hazardous,1.5
Kota,06-01-2013,230.2122087,375.6560043,42.24537698,79.00763419,7.026396707,62.11521131,41.50915798,25.62696203,384.8140206,Hazardous,0.612827177
Mumbai,07-01-2013,248.2256546,275.693338,44.53601646,37.71546394,1.691805256,88.51102321,19.40823422,95.96933269,398.6382931,Hazardous,0.900368708
Visakhapatnam,08-01-2013,146.8524893,73.5704977,90.39293914,13.20007181,3.511055373,60.11245476,36.8623847,70.11334172,320.8402825,Hazardous,1.5
Nashik,09-01-2013,58.5464026,175.706356,33.06846461,7.825843915,6.83498294,92.43356164,14.55165901,39.2834569,160.337128,Unhealthy,0.333205946
Howrah,10-01-2013,248.0484697,202.2204056,75.38814373,43.51629305,0.240471019,53.23215571,36.27638065,73.50696489,398.502314,Hazardous,1.226624331
Allahabad,11-01-2013,12.18967424,352.9095881,11.42373591,24.89841418,6.459848509,23.88528808,34.60952914,30.52889708,303.3930281,Hazardous,0.034540502
Raipur,12-01-2013,213.706184,130.3679342,95.01391109,5.903616667,9.935766231,55.67197577,19.74236771,92.83461937,372.1466063,Hazardous,1.5
Jodhpur,13-01-2013,30.22443023,239.5492756,57.93024804,65.2944293,0.220008744,91.75680418,14.13311297,50.86799729,500,Hazardous,0.126172079
Nagpur,14-01-2013,91.80780829,172.6168239,44.17645763,64.47959428,5.001625538,67.41093457,24.63847039,57.12093835,203.7576904,Very Unhealthy,0.531858982
Chennai,15-01-2013,193.0296887,108.0344965,48.36670671,8.51404393,7.861461406,50.02376565,13.80588997,42.58326005,500,Hazardous,1.5
Visakhapatnam,16-01-2013,191.4553507,219.2277615,44.07835676,72.20373966,5.343545491,53.32869309,38.61168145,81.74118823,355.0703854,Hazardous,0.87331709
Kanpur,17-01-2013,74.72924061,58.80488645,48.53766635,47.71171853,5.709402262,39.49534231,37.53291364,77.31197648,147.8687869,Unhealthy for Sensitive Groups,1.270799845
Chennai,18-01-2013,59.27021506,25.27101393,149.8003162,77.40263406,1.30196794,20.33866797,34.85626937,46.63466064,169.8003162,Unhealthy,1.5
Kota,19-01-2013,188.8039546,238.5268395,138.789299,62.9205372,5.924619862,85.86004804,20.39322494,69.70983075,353.0355931,Hazardous,0.791541761
Agra,20-01-2013,110.5222046,169.4141403,33.77458531,48.85131547,2.716651648,41.95618232,14.61339592,46.77785531,267.6447675,Very Unhealthy,0.652378865
Delhi,21-01-2013,144.7554663,29.8388656,136.2661985,52.5545678,4.639700373,50.02329201,27.6528184,57.60312764,500,Hazardous,1.5
Allahabad,22-01-2013,96.46205399,257.224467,55.62166969,44.13295094,1.266497277,69.02270191,40.89995619,60.81106682,219.6463222,Very Unhealthy,0.375011192
Amritsar,23-01-2013,264.5534773,365.1069049,50.88877401,58.25236584,8.79466808,82.06084764,34.10840903,60.65958532,406.3887319,Hazardous,0.724591822
Jodhpur,24-01-2013,91.28213299,307.0628533,85.08576386,99.87827024,3.516717719,19.12714787,42.62768636,63.94601084,257.0628533,Very Unhealthy,0.297275076
Pune,25-01-2013,131.9567627,32.11396385,25.13287844,29.31744913,9.390542479,71.89287496,34.2290617,66.33882866,309.4086784,Hazardous,1.5
